name,sku,collection,product_type,price,product_dimension,shipping_dimension,net_weight,gross_weight,qty_per_carton,color,frame_type,cushion_info,description,tags,image_url,all_image_urls,url
Jolee White Sectional Armless Chair,JLWSAC,Jolee White Wash,,$1055.00,32.5''x28''x31.7'',38'',22.1 lbs,39.70 lbs,1,White Wash,Aluminum Knock-Down,"s and a durable, powder-coated aluminum","Add flexibility and comfort to your outdoor seating layout with the Jolee White Sectional Armless Chair by Summerset Casual . This sleek, armless design features thick, weather-resistant white cushions and a durable, powder-coated aluminum frame — ideal for withstanding the elements while keeping a crisp, modern look. Use it as a standalone seat or as a middle connector between sectional pieces to expand your lounge configuration. Its versatile, modular design makes it easy to personalize your s","Armless Chair, Jolee White, Summerset Casual",,,https://summersetcasual.com/products/jolee-white-sectional-armless-chair
Jolee White Sectional Corner Chair,JLWSCC,Jolee White Wash,,$1785.00,32.5''x32.5''x31.7'',34.25'',22.1 lbs,35.3 lbs,1,White Wash,Aluminum Knock-Down,"s and a sleek, powder-coated aluminum","Create a seamless and stylish transition in your outdoor seating arrangement with the Jolee White Sectional Corner Chair by Summerset Casual . This essential connector piece features plush, weather-resistant white cushions and a sleek, powder-coated aluminum frame designed for durability and modern appeal. Perfectly contoured to fit into any corner configuration, it links effortlessly with the left and right arm pieces in the Jolee collection, offering both structure and comfort. Whether you're ","Corner Chair, Jolee White, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/JLWSCC.jpg?v=1762059140,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/JLWSCC.jpg?v=1762059140,https://summersetcasual.com/products/jolee-white-sectional-corner-chair
Jolee White Sectional Loveseat Right Arm,JLWSLSRA,Jolee White Wash,,$1875.00,"32.5""x60""x31.7""","62""x40""x37""",64 lbs,90.40 lbs,2,White Wash,Aluminum Knock-Down,"s set against a sturdy, powder-coated aluminum","Elevate your outdoor lounging experience with the Jolee White Sectional Loveseat (Right Arm) by Summerset Casual . Designed with clean lines and modern comfort, this piece features plush, all-weather white cushions set against a sturdy, powder-coated aluminum frame. The right-arm configuration makes it a versatile component in your modular sectional setup, easily pairing with other pieces from the Jolee collection to customize your outdoor seating arrangement. Built to withstand the elements whi","Jolee White, Loveseat, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/JLWSLSRA.jpg?v=1762058566,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/JLWSLSRA.jpg?v=1762058566,https://summersetcasual.com/products/jolee-white-sectional-loveseat-right-arm
Jolee White Sectional Loveseat Left Arm,JLWSLSLA,Jolee White Wash,,$1875.00,"32.5""x60""x32""","62""x40""x37""",64 lbs,90.40 lbs,2,White Wash,Aluminum Knock-Down,s and a sleek aluminum,"Bring timeless elegance and plush comfort to your outdoor space with the Jolee White Sectional Loveseat (Left Arm) by Summerset Casual . Thoughtfully crafted for both style and durability, this modular piece features weather-resistant white cushions and a sleek aluminum frame with a modern powder-coated finish. Its left-arm design allows for seamless pairing with other sectional components in the Jolee collection, giving you the freedom to create a layout that fits your patio or garden perfectly","Jolee White, Loveseat, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/JLWSLSLA.jpg?v=1762052561,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/JLWSLSLA.jpg?v=1762052561,https://summersetcasual.com/products/jolee-white-sectional-loveseat-left-arm
La Flamme Lace Armless Dining Chair,LFADC,La Flamme,,$443.00,,,,,,,,,"The La Flamme Lace Armless Dining Chair by Summerset Casual combines modern elegance with versatile design. Its sleek armless profile creates a clean, open look that fits beautifully around any dining table while maximizing seating space. Featuring a stylish lace-inspired pattern, the chair adds a touch of artistry to your outdoor or indoor setting. Built with durable, weather-resistant materials, it stands up to the elements while offering long-lasting comfort and support. Perfect for casual me","Dining Chair, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFADC.jpg?v=1762525136,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFADC.jpg?v=1762525136,https://summersetcasual.com/products/la-flamme-lace-dining-chair-copy
La Flamme Lace Dining Chair,LFDC,La Flamme,,$570.00,,,,,,,,,"Elevate your outdoor dining experience with the La Flamme Lace Dining Chair by Summerset Casual . Designed with both comfort and elegance in mind, this chair features a refined lace-inspired design that adds a touch of sophistication to any patio or dining space. Crafted from durable, weather-resistant materials, it ensures lasting beauty and strength against the elements. The supportive seat and ergonomic backrest provide exceptional comfort, making it perfect for leisurely meals and long gathe","Dining Chair, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFDC.jpg?v=1762525222,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFDC.jpg?v=1762525222,https://summersetcasual.com/products/la-flamme-lace-dining-chair
Aztec Dark Sectional Loveseat Right Arm Facing,AZDSLSRA,Aztec,,$2256.00,,,,,,,,"s provide cozy support, making it ideal for lounging, entert","Complete your modular outdoor seating with the Aztec Dark Sectional Loveseat Right Arm Facing by Summerset Casual . This beautifully crafted piece features handwoven, all-weather wicker in a rich dark finish, offering a warm, natural look with exceptional resilience. Designed for versatility, the right arm facing layout allows seamless integration with other sectional components from the Aztec collection. Deep, weather-resistant cushions provide cozy support, making it ideal for lounging, entert","Loveseat, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/AZDSLSRA.jpg?v=1762525298,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/AZDSLSRA.jpg?v=1762525298,https://summersetcasual.com/products/aztec-dark-sectional-loveseat-right-arm-facing
Aztec Dark Sectional Loveseat Left Arm Facing,AZDSLSLA,Aztec,,$2256.00,,,,,,,,"s, this piece brings together rustic charm and modern comfor","Infuse your outdoor space with rich texture and bold character using the Aztec Dark Sectional Loveseat Left Arm Facing by Summerset Casual . Crafted with handwoven all-weather wicker in a deep espresso finish, this loveseat delivers a sophisticated, earthy aesthetic with enduring durability. The left arm facing configuration makes it an essential component for custom sectional arrangements, pairing seamlessly with other pieces in the Aztec collection. Topped with plush, fade-resistant cushions, ","Loveseat, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/AZDSLSLA.jpg?v=1762525345,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/AZDSLSLA.jpg?v=1762525345,https://summersetcasual.com/products/aztec-dark-sectional-loveseat-left-arm-facing
La Flamme High back Club Swivel Rocker Chair,LFCCSR,La Flamme,,$1735.00,,,,,,,,,"The La Flamme High Back Club Swivel Rocker Chair by Summerset Casual combines comfort, motion, and style in one elegant design. With its tall supportive back and deep seating, it offers unmatched relaxation, while the smooth swivel and gentle rocking motion add a touch of ease to your lounging experience. The lace-inspired detailing enhances its sophisticated look, and the durable, weather-resistant frame ensures it stands strong season after season. Perfect for patios, decks, or garden retreats","Summerset Casual, Swivel Rocker",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFCCSR.jpg?v=1762524888,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFCCSR.jpg?v=1762524888,https://summersetcasual.com/products/la-flamme-recliner-club-chair-copy
La Flamme Recliner Club Chair,LFCR,La Flamme,,$1435.00,,,,,,,,"ing provide exceptional comfort, while the lace-inspired det","Enjoy the perfect balance of luxury and relaxation with the La Flamme Recliner Club Chair by Summerset Casual . Designed with a smooth reclining function, this chair lets you easily transition from upright seating to laid-back lounging. Its high back and generous cushioning provide exceptional comfort, while the lace-inspired detailing adds a refined touch of elegance. Built from durable, weather-resistant materials, it’s crafted to endure outdoor elements while maintaining its timeless style. W","Club Chair, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFCR.jpg?v=1762524950,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFCR.jpg?v=1762524950,https://summersetcasual.com/products/la-flamme-recliner-club-chair
La Flamme High back Club Chair,LFCC,La Flamme,,$1235.00,,,,,,,,,"Unwind in style with the La Flamme High Back Club Chair by Summerset Casual . Featuring a tall, supportive backrest and wide, inviting seat, this chair is designed for ultimate comfort and relaxation. The lace-inspired detailing brings a touch of elegance, while the durable, weather-resistant construction ensures it will withstand the elements season after season. Perfect for lounging on the patio or creating a cozy conversation area, the La Flamme High Back Club Chair blends timeless design wit","Club High Back, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFCC.jpg?v=1762525041,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFCC.jpg?v=1762525041,https://summersetcasual.com/products/la-flamme-high-back-club-chair
La Flamme Dining Swivel Rocker,LFSR,La Flamme,,$715.00,,,,,,,,,"Experience comfort in motion with the La Flamme Dining Swivel Rocker by Summerset Casual . Designed for both style and function, this chair features a smooth swivel and gentle rocking motion, making every meal or gathering more relaxing. The elegant lace-inspired detailing enhances its sophisticated look, while the durable, weather-resistant frame ensures long-lasting performance outdoors. With its supportive seating and effortless movement, the La Flamme Dining Swivel Rocker is the perfect blen","Summerset Casual, Swivel Rocker",,,https://summersetcasual.com/products/la-flamme-dining-swivel-rocker
La Flamme Chaise Lounge,LFCL,La Flamme,,$1472.00,,,,,,,,,"Stretch out in luxury with the La Flamme Chaise Lounge by Summerset Casual . Designed for ultimate relaxation, this chaise features a supportive high back and adjustable reclining positions, letting you find the perfect angle for sunbathing, reading, or unwinding poolside. The graceful lace-inspired detailing elevates its elegant design, while the durable, weather-resistant frame ensures it withstands the elements season after season. Spacious and comfortable, the La Flamme Chaise Lounge is the ","Chaise Lounge, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFCL.jpg?v=1761972323,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFCL.jpg?v=1761972323,https://summersetcasual.com/products/la-flamme-chaise-lounge
La Flamme Accent Table,SQATLF21,La Flamme,,$370.00,21.1''x20.9''x20.9'',22'',11 lbs,14.96 lbs,1,MA,Cast Aluminum Knock-Down,,"Complete your outdoor seating arrangement with the La Flamme Accent Table by Summerset Casual . Designed to pair seamlessly with the La Flamme collection, this table features elegant lace-inspired detailing that adds a refined touch to any setting. Its sturdy, weather-resistant construction ensures long-lasting beauty and performance, while the compact size makes it perfect for holding drinks, snacks, or décor. Whether used between chairs or as a stylish side piece, the La Flamme Accent Table en","Accent Table, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/SQATLF21.jpg?v=1762051121,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/SQATLF21.jpg?v=1762051121,https://summersetcasual.com/products/la-flamme-accent-table
La Flamme High back Deep Seat Sofa,LFDSS,La Flamme,,$2385.00,,,,,,,,,"The La Flamme High Back Deep Seat Sofa by Summerset Casual brings spacious comfort and timeless elegance to your outdoor living area. Designed with a tall, supportive back and generously deep seating, it offers unmatched relaxation for gatherings or quiet evenings outdoors. The graceful lace-inspired detailing adds a touch of sophistication, while the durable, weather-resistant frame ensures lasting performance through every season. Perfect as the centerpiece of your patio or garden lounge, the ","Sofa, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFDSS.jpg?v=1762524457,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/LFDSS.jpg?v=1762524457,https://summersetcasual.com/products/la-flamme-high-back-loveseat-copy
La Flamme High Back Loveseat,LFDSLS,La Flamme,,$2384.00,,,,,,,,,"The La Flamme High Back Loveseat by Summerset Casual offers the perfect blend of style, comfort, and durability for outdoor living. Designed with a tall supportive back and spacious seating for two, it provides exceptional comfort while encouraging cozy conversations and relaxed lounging. The elegant lace-inspired detailing adds sophistication, while its weather-resistant construction ensures long-lasting beauty and performance in any season. Ideal for patios, gardens, or poolside retreats, the ","Loveseat, Summerset Casual",,,https://summersetcasual.com/products/la-flamme-high-back-loveseat
Cushion for Aztec Sun Bed,CUSH-MB,Aztec,Cushion,$1410.00,,,,,,". For upgraded fabric, please purchase",,"is in solid color. For upgraded fabric, please purchase Cush","Description It's required to put fabric name in the product note. * Please make sure to put fabric name in the customer Note field. ** This cushion is in solid color. For upgraded fabric, please purchase Cushion Upgrade item. Stripe Color = 1 x Upgrade Weave Color = 2 x Upgrade Print Color = 3 x Upgrade Sunbed = 2 x Chaise Lounge Cushion For example, a sunbed cushion in Astoria Sunset fabric (Strip) needs to buy??2??Chaise Lounge cushion upgrade Specifications Dimension To be updated Net Weight ","Aztec or Athena, Chaise, Cushion",https://cdn.shopify.com/s/files/1/0556/0729/6170/products/Sunbedcushion.jpg?v=1741158462,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/Sunbedcushion.jpg?v=1741158462,https://summersetcasual.com/products/cushion-for-aztec-sun-bed
JoLee White Club Glider Swivel Chair,JLWGCC,Jolee White Wash,Patio Furniture,$1845.00,"32""x36""x31.5""","33.5""x34.5""x37.5""",53 lbs,62 lbs,1,White Wash,Aluminum Knock-Down,Purchased Separately,"Description Jolee White Club Chair Glider Swivel Dimensions & Weight Product Dimension 32""x36""x31.5"" Arm Height 24"" Seat Height 11.25"" Shipping Dimension 33.5""x34.5""x37.5"" Net Weight 53 lbs Gross Weight 62 lbs QTY/CTN 1 Specifications Color White Wash Frame Type Aluminum Knock-Down Cushion Purchased Separately Matching Cover C21W; Warranty Frames: 10 years; Cushion 5 years California's Proposition 65 Warning For California Residents Additional Documents ??","Deep Seat, Jolee White, Stocking",https://cdn.shopify.com/s/files/1/0556/0729/6170/products/null_img_a13873ae-309c-4d5a-a095-dc199792c735.jpg?v=1741158472,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/null_img_a13873ae-309c-4d5a-a095-dc199792c735.jpg?v=1741158472,https://summersetcasual.com/products/jolee-white-club-glider-swivel-chair
Cushion for Aeros Sofa,KTCUSH-ER34,Aeros,Cushion,$1317.00,,,,,,". For upgraded fabric, please purchase",,"is in solid color. For upgraded fabric, please purchase Cush","Description It's required to put fabric name in the product note. * Please make sure to put fabric name in the customer Note field. ** This cushion is in solid color. For upgraded fabric, please purchase Cushion Upgrade item. Stripe Color = 1 x Upgrade Weave Color = 2 x Upgrade Print Color = 3 x Upgrade Loveseat = 2 x Club; Sofa = 3 x Club For example, a sofa cushion in Astoria Sunset fabric (Strip) needs to buy 3 club cushion upgrade Specifications Dimension To be updated Net Weight To be updat","Aeros, Cushion, Deep Seat",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/Sofa-Cushion-Side_c3310ff1-33a5-47e0-8527-91697411c309.jpg?v=1742581275,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/Sofa-Cushion-Side_c3310ff1-33a5-47e0-8527-91697411c309.jpg?v=1742581275,https://summersetcasual.com/products/cushion-for-aeros-sofa
Cushion for Aeros Loveseat,KTCUSH-ER23,Aeros,Cushion,$879.00,,,,,,". For upgraded fabric, please purchase",,"is in solid color. For upgraded fabric, please purchase Cush","Description It's required to put fabric name in the product note. * Please make sure to put fabric name in the customer Note field. ** This cushion is in solid color. For upgraded fabric, please purchase Cushion Upgrade item. Stripe Color = 1 x Upgrade Weave Color = 2 x Upgrade Print Color = 3 x Upgrade Loveseat = 2 x Club; Sofa = 3 x Club For example, a sofa cushion in Astoria Sunset fabric (Strip) needs to buy 3 club cushion upgrade Specifications Dimension To be updated Net Weight To be updat","Aeros, Cushion, Deep Seat",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/Loveseat-Cushion-1_7e0fd446-1548-4694-88cc-ffa6475610e7.jpg?v=1742581272,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/Loveseat-Cushion-1_7e0fd446-1548-4694-88cc-ffa6475610e7.jpg?v=1742581272 | https://cdn.shopify.com/s/files/1/0556/0729/6170/files/Loveseat-Cushion-2_cb92fc22-ab3f-434d-949c-36cc4c70b56d.jpg?v=1742581272,https://summersetcasual.com/products/cushion-for-aeros-loveseat
Cushion for Aeros Club Chair,KTCUSH-ER12,Aeros,Cushion,$439.00,,,,,,". For upgraded fabric, please purchase",,"is in solid color. For upgraded fabric, please purchase Cush","Description It's required to put fabric name in the product note. * Please make sure to put fabric name in the customer Note field. ** This cushion is in solid color. For upgraded fabric, please purchase Cushion Upgrade item. Stripe Color = 1 x Upgrade Weave Color = 2 x Upgrade Print Color = 3 x Upgrade Specifications Dimension To be updated Net Weight To be updated Material Sunbrella or Tempotest Color Solid Warranty 5-year Additional Documents Sunbrella Cushion Cleaning Instruction Introducing","Aeros, Cushion, Deep Seat",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/ClubCushion1copy_8b23bcc3-7ddc-4364-bfbe-8908d2eb65b0.jpg?v=1742581267,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/ClubCushion1copy_8b23bcc3-7ddc-4364-bfbe-8908d2eb65b0.jpg?v=1742581267 | https://cdn.shopify.com/s/files/1/0556/0729/6170/files/ClubCushion2copy_ac306cb5-72b9-4fc1-8c7c-bf6938774d9a.jpg?v=1742581267 | https://cdn.shopify.com/s/files/1/0556/0729/6170/files/ClubCushion3copy_cad478e4-624e-4067-a006-27380f36efe9.jpg?v=1742581267,https://summersetcasual.com/products/cushion-for-aeros-club-chair
Cushion for Aztec or Athena Sectional Loveseat,KTCUSH-ZD23,Athena Dark,Cushion,$987.00,,,,,,". For upgraded fabric, please purchase",,"is in solid color. For upgraded fabric, please purchase Cush","Description It's required to put fabric name in the product note. * Please make sure to put fabric name in the customer Note field. ** This cushion is in solid color. For upgraded fabric, please purchase Cushion Upgrade item. Stripe Color = 1 x Upgrade Weave Color = 2 x Upgrade Print Color = 3 x Upgrade Loveseat = 2 x Club; Sofa = 3 x Club For example, a sofa cushion in Astoria Sunset fabric (Strip) needs to buy 3 club cushion upgrade Specifications Dimension To be updated Net Weight To be updat","Athena Dark, Aztec, Aztec or Athena, Cushion, Deep Seat",https://cdn.shopify.com/s/files/1/0556/0729/6170/products/Loveseat-Cushion-1_11add7f8-849b-4f30-bb2a-f97e27dc684d.jpg?v=1741158426,https://cdn.shopify.com/s/files/1/0556/0729/6170/products/Loveseat-Cushion-1_11add7f8-849b-4f30-bb2a-f97e27dc684d.jpg?v=1741158426 | https://cdn.shopify.com/s/files/1/0556/0729/6170/products/Loveseat-Cushion-2_3b9a9cf2-f944-4f2a-8d54-49f7dbf56ff4.jpg?v=1741158426,https://summersetcasual.com/products/cushion-for-aztec-or-athena-sectional-loveseat
Athena Dark Sectional Curved Corner Club Chair,ATDSCVC,Athena Dark,Patio Furniture,$1795.00,"64.2""x37""x30.3""","67""x42""x36""",,,1,Dark Grey,Wicker Knock-Down,Purchase Separately,"Description Athena Dark Sectional Curved Corner Club Chair Dimensions & Weight Product Dimension 64.2""x37""x30.3"" Arm Height 0 Seat Height 10"" Shipping Dimension 67""x42""x36"" Net Weight lbs Gross Weight lbs QTY/CTN 1 Specifications Color Dark Grey Frame Type Wicker Knock-Down Cushion Purchase Separately Matching Cover M404; Modular cover piece only available in Mercury series. Warranty Frames: 10 years; Cushion 5 years California's Proposition 65 Warning For California Residents Additional Documen",Athena Dark,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/ATDSCVC.jpg?v=1741158301,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/ATDSCVC.jpg?v=1741158301,https://summersetcasual.com/products/athena-dark-sectional-curved-corner-club-chair-container-order-only
