id,sku,name,slug,collection,short_description,description,dimensions,specs,price,msrp,sale_price,category_id,is_active,available_online,created_at,updated_at
4094,SPL41007AX,Hex Lounge Bench (Stackable),19-25-x-21-85-hex-lounge-bench-stackable-in-pool-series-homecrest,Series,"19.25"" x 21.85"" Hex Lounge Bench (Stackable) — Homecrest In-Pool Series collection.","19.25"" x 21.85"" Hex Lounge Bench (Stackable) — Homecrest In-Pool Series collection.

<p>You’ll never run out of seating options with our In-Pool Series 13” hex lounge bench. Whether you need extra seats on your pool ledge or a few more settings for a backyard barbecue, this portable, cushioned seat offers a modern geometric style that is perfect for your space. The hex lounge bench is lightweight with an open bottom and dual handles for effortless placement. It sits still in up to 7” of water and is stackable for convenient storage. Available in Desert Sandstone*, Gray Granite*, Light Blue*, River Rock*, Surf Blue*, White*, White Granite, and Yellow* color options. *This color incurs a longer lead time of six weeks.</p>",,{'Material': 'Polyethylene'},,,,43,True,True,2026-06-01 06:36:55.449605+00:00,2026-06-08 21:38:24.036000+00:00
4096,SPL41007BX,Hex Tall Bench (Stackable),19-25-x-21-85-hex-tall-bench-stackable-in-pool-series-homecrest,Series,"19.25"" x 21.85"" Hex Tall Bench (Stackable) — Homecrest In-Pool Series collection.","19.25"" x 21.85"" Hex Tall Bench (Stackable) — Homecrest In-Pool Series collection.

<p>You’ll never run out of seating options with our In-Pool Series 18” hex lounge bench. Whether you need extra seats on your pool ledge or a few more settings for a backyard barbecue, this portable, cushioned seat offers a modern geometric style that is perfect for your space. The hex lounge bench is lightweight with an open bottom and dual handles for effortless placement. It sits still in up to 10” of water and is stackable for convenient storage. Available in Desert Sandstone*, Gray Granite*, Light Blue*, River Rock*, Surf Blue*, White*, White Granite, and Yellow* color options. *This color incurs a longer lead time of six weeks.</p>",,{'Material': 'Polyethylene'},,,,43,True,True,2026-06-01 06:36:55.716499+00:00,2026-06-08 21:38:24.044000+00:00
4194,13220,End Table,22-end-table-mode-homecrest,Mode,"22"" End Table — Homecrest Mode collection.","22"" End Table — Homecrest Mode collection.

<p>Add an element of sophistication to your outdoor space with Homecrest's Mode collection. With clean lines and contemporary inspiration, Mode sets the standard in casual chic. Mode features floating aluminum rectangular panels and a sleek appearance that brings an elegant style to your outdoor space. The aluminum top panels that float over the base frame are available in all finishes. DuoTone your Mode table or fire table by selecting one color for the top panels and a coordinating color for the base.</p>","22"" W x 22"" D x 20"" H","{'Notes': 'no Hole', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:09.861904+00:00,2026-06-23 18:14:57.428150+00:00
4098,SPL22101T1,Side Table/Bench,22-x-17-side-table-bench-in-pool-series-homecrest,Series,"22"" x 17"" Side Table/Bench — Homecrest In-Pool Series collection.","22"" x 17"" Side Table/Bench — Homecrest In-Pool Series collection.

<p>Our In-Pool Series side table/bench is the ultimate pool accent, designed to combine functionality, versatility, and visual charm. Whether you use it as a seat, side table, or ottoman, this piece is a must-have for poolside relaxation. It features two built in cupholders for easy drink access, and it works in up to 10” of water without additional weights. Coated diving weights can be added through the cupholder opening to increase water depth to 13”. Available in Desert Sandstone*, Gray Granite*, Light Blue*, River Rock*, Surf Blue*, White*, White Granite, and Yellow* color options. *This color incurs a longer lead time of six weeks.</p>","22"" W x 17"" D x 16.25"" H","{'Notes': 'SPL22101T1ST - with Soft Touch; Maximum water depth of 10""'}",,,,43,True,True,2026-06-01 06:36:55.970547+00:00,2026-06-08 21:38:24.050000+00:00
4195,132244,Coffee Table,22-x-44-coffee-table-mode-homecrest,Mode,"22"" x 44"" Coffee Table — Homecrest Mode collection.","22"" x 44"" Coffee Table — Homecrest Mode collection.

<p>Add an element of sophistication to your outdoor space with Homecrest's Mode collection. With clean lines and contemporary inspiration, Mode sets the standard in casual chic. Mode features floating aluminum rectangular panels and a sleek appearance that brings an elegant style to your outdoor space. The aluminum top panels that float over the base frame are available in all finishes. DuoTone your Mode table or fire table by selecting one color for the top panels and a coordinating color for the base.</p>","22"" W x 44"" D x 15"" H","{'Notes': 'no Hole', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:10.102896+00:00,2026-06-23 18:14:57.428150+00:00
4101,SPLWIDETABLE,End Table,22-5-end-table-in-pool-series-homecrest,Series,"22.5"" End Table — Homecrest In-Pool Series collection.","22.5"" End Table — Homecrest In-Pool Series collection.

<p>Featuring an intelligent two-piece design and an umbrella hole, our In-Pool Series end table offers a convenient place for your refreshments in the shade. This end table boasts a unique rippled design that mimics the gentle flow of water, creating a visually captivating accent piece. Consisting of a sturdy base unit and removable top tray, this table works in water depths up to 10”. Available in Desert Sandstone*, Gray Granite*, Light Blue*, River Rock*, Surf Blue*, White*, White Granite, and Yellow* color options. *This color incurs a longer lead time of six weeks.</p>","22.5"" W x 22.5"" D x 19"" H","{'Notes': 'SPLWIDETABLEST - with Soft Touch; Maximum water depth of 10""'}",,,,43,True,True,2026-06-01 06:36:56.379361+00:00,2026-06-08 21:38:24.148000+00:00
4252,2624S,End Table,23-5-end-table-eden-homecrest,Eden,"23.5"" End Table — Homecrest Eden collection.","23.5"" End Table — Homecrest Eden collection.

<p>Eden's warmly functional design is sparked by Swedish simplicity, clean lines, and flawless craftsmanship. Constructed with HDPE materials, Eden is a slatted, teak-inspired top with an aluminum base that is available in all of Homecrest's textured powder-coated finishes. Available in dining, balcony, and bar heights, the modern appearance of the Eden collection bears the essence of cool sophistication and the welcoming warmth of comfort you expect from your Homecrest outdoor furniture. Eden gives discerning homeowners and designers a lot of creative control with its DuoTone style, meaning they can mix and match seat top colors to complement or contrast the frame finishes on the legs.</p>","23.5"" W x 23.5"" D x 22"" H","{'Notes': 'no hole', 'Material': 'All-Weather Poly | Aluminum'}",,,,52,True,True,2026-06-01 06:37:21.250617+00:00,2026-06-23 18:14:57.428150+00:00
4251,2621S,Side Table,23-5-side-table-eden-homecrest,Eden,"23.5"" Side Table — Homecrest Eden collection.","23.5"" Side Table — Homecrest Eden collection.

<p>Eden's warmly functional design is sparked by Swedish simplicity, clean lines, and flawless craftsmanship. Constructed with HDPE materials, Eden is a slatted, teak-inspired top with an aluminum base that is available in all of Homecrest's textured powder-coated finishes. Available in dining, balcony, and bar heights, the modern appearance of the Eden collection bears the essence of cool sophistication and the welcoming warmth of comfort you expect from your Homecrest outdoor furniture. Eden gives discerning homeowners and designers a lot of creative control with its DuoTone style, meaning they can mix and match seat top colors to complement or contrast the frame finishes on the legs.</p>","23.5"" W x 23.5"" D x 16.75"" H","{'Notes': 'no hole', 'Material': 'All-Weather Poly | Aluminum'}",,,,52,True,True,2026-06-01 06:37:21.126443+00:00,2026-06-23 18:14:57.428150+00:00
4226,3723RCT,End Table,24-end-table-concrete-homecrest,Concrete,"24"" End Table — Homecrest Concrete collection.","24"" End Table — Homecrest Concrete collection.

<p>Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest’s Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.</p>","19.5"" H","{'Notes': '3-legged base', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:16.851411+00:00,2026-06-23 18:14:57.428150+00:00
4260,3722SWZ,End Table,24-end-table-integrity-homecrest,Integrity,"24"" End Table — Homecrest Integrity collection.","24"" End Table — Homecrest Integrity collection.

<p>Integrity table tops achieve a commercial trifecta, uniting extreme durability, excellent utility, and pleasing aesthetics in a single unit. These tables are impervious to chemical and thermal effects; meet rigorous standards for UV resistance, impact testing, and hygiene; and are a breeze to maintain in any outdoor application. Available in multiple sizes and finish options, Integrity tops can be paired with a variety of Homecrest bases to meet the height, functional, and aesthetic requirements of your project.</p>","24"" W x 24"" D x 19.5"" H","{'Notes': 'No Hole; Universal Base - End Complete', 'Material': 'Composite Melamine | Aluminum'}",,,,52,True,True,2026-06-01 06:37:22.861104+00:00,2026-06-23 18:14:57.428150+00:00
4268,6224R,End Table,24-end-table-latitude-homecrest,Latitude,"24"" End Table — Homecrest Latitude collection.","24"" End Table — Homecrest Latitude collection.

<p>Enjoy the beauty of the outdoors with Homecrest’s stunning Latitude collection. The attractive and functional Latitude tables feature an all-aluminum construction and are well-suited for both dining and deep seating applications. Whether for residential or commercial, Latitude combines style and function to create a fresh look in any outdoor space.</p>","19"" H","{'Notes': 'no Hole', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:24.090244+00:00,2026-06-23 18:14:57.428150+00:00
4290,2722SHD,End Table,24-end-table-medley-homecrest,Medley,"24"" End Table — Homecrest Medley collection.","24"" End Table — Homecrest Medley collection.

<p>Elevate your outdoor dining experience with the Medley collection. Constructed with a powder-coated aluminum frame and durable all-weather poly (HDPE) top, Medley visually resembles natural wood but eliminates the upkeep and maintenance that comes with it. Transform your outdoor space with this sturdy table that combines robust design and practical elegance.</p>","25"" W x 25"" D x 21"" H",{'Notes': 'no Hole'},,,,52,True,True,2026-06-01 06:37:28.019358+00:00,2026-06-23 18:14:57.428150+00:00
4300,3723RSH,End Table,24-end-table-shadow-rock-homecrest,Shadow Rock,"24"" End Table — Homecrest Shadow Rock collection.","24"" End Table — Homecrest Shadow Rock collection.

<p>Homecrest’s elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.</p>","19.5"" H","{'Notes': '3-legged base', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:29.560811+00:00,2026-06-23 18:14:57.428150+00:00
4328,3723RSL,End Table,24-end-table-slate-homecrest,Slate,"24"" End Table — Homecrest Slate collection.","24"" End Table — Homecrest Slate collection.

<p>A welcome addition to any outdoor space, Homecrest’s Slate tops feature a rustic elegance that could only be inspired by nature. Cast from the pattern and subtle texture of natural slate and produced using industry-leading technology, Homecrest Slate tops are as beautifully authentic in appearance as they are tough and durable. These smooth-surface tops are a favorite in outdoor spaces across the country and mix seamlessly with pieces from our seating collections.</p>","19.5"" H","{'Notes': '3-legged base', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:34.371073+00:00,2026-06-23 18:14:57.428150+00:00
4356,3723RSG,End Table,24-end-table-stonegate-homecrest,Stonegate,"24"" End Table — Homecrest Stonegate collection.","24"" End Table — Homecrest Stonegate collection.

<p>Featuring the dramatic beauty of natural rock, our Stonegate tops combine natural elements with modern finishes for style and durability. Stonegate is designed to withstand the elements and is available in many shapes and heights. Its clean simplicity and straight-edge finish give Stonegate an on-trend appearance that allows it to adapt to a wide range of design applications, whether residential or commercial.</p>","19.5"" H","{'Notes': '3-legged base', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:40.343698+00:00,2026-06-23 18:14:57.428150+00:00
4381,3722STM,End Table,24-end-table-timber-homecrest,Timber,"24"" End Table — Homecrest Timber collection.","24"" End Table — Homecrest Timber collection.

<p>Cast from beautiful reclaimed wood tables, our popular Timber collection is on trend and timeless. Using the same technology we use in all Natural Series tops, we are able to achieve a look that is marvelously realistic while retaining the outstanding outdoor performance characteristics you expect from Homecrest. Timber is available in a variety of authentic colors to coordinate with unique color themes.</p>","24"" W x 24"" D x 19.5"" H","{'Notes': '4-legged base', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:45.727973+00:00,2026-06-23 18:14:57.428150+00:00
4225,3724RCT,Side Table,24-side-table-concrete-homecrest,Concrete,"24"" Side Table — Homecrest Concrete collection.","24"" Side Table — Homecrest Concrete collection.

<p>Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest’s Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.</p>","15.5"" H",{'Material': 'Aluminum'},,,,52,True,True,2026-06-01 06:37:16.720459+00:00,2026-06-23 18:14:57.428150+00:00
4289,2721SHD,Side Table,24-side-table-medley-homecrest,Medley,"24"" Side Table — Homecrest Medley collection.","24"" Side Table — Homecrest Medley collection.

<p>Elevate your outdoor dining experience with the Medley collection. Constructed with a powder-coated aluminum frame and durable all-weather poly (HDPE) top, Medley visually resembles natural wood but eliminates the upkeep and maintenance that comes with it. Transform your outdoor space with this sturdy table that combines robust design and practical elegance.</p>","25"" W x 25"" D x 16"" H",{'Notes': 'no Hole'},,,,52,True,True,2026-06-01 06:37:27.902076+00:00,2026-06-23 18:14:57.428150+00:00
4299,3724RSH,Side Table,24-side-table-shadow-rock-homecrest,Shadow Rock,"24"" Side Table — Homecrest Shadow Rock collection.","24"" Side Table — Homecrest Shadow Rock collection.

<p>Homecrest’s elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.</p>","15.5"" H","{'Notes': '3-legged base', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:29.257099+00:00,2026-06-23 18:14:57.428150+00:00
4327,3724RSL,Side Table,24-side-table-slate-homecrest,Slate,"24"" Side Table — Homecrest Slate collection.","24"" Side Table — Homecrest Slate collection.

<p>A welcome addition to any outdoor space, Homecrest’s Slate tops feature a rustic elegance that could only be inspired by nature. Cast from the pattern and subtle texture of natural slate and produced using industry-leading technology, Homecrest Slate tops are as beautifully authentic in appearance as they are tough and durable. These smooth-surface tops are a favorite in outdoor spaces across the country and mix seamlessly with pieces from our seating collections.</p>","15.5"" H","{'Notes': '3-legged base', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:34.177878+00:00,2026-06-23 18:14:57.428150+00:00
4355,3724RSG,Side Table,24-side-table-stonegate-homecrest,Stonegate,"24"" Side Table — Homecrest Stonegate collection.","24"" Side Table — Homecrest Stonegate collection.

<p>Featuring the dramatic beauty of natural rock, our Stonegate tops combine natural elements with modern finishes for style and durability. Stonegate is designed to withstand the elements and is available in many shapes and heights. Its clean simplicity and straight-edge finish give Stonegate an on-trend appearance that allows it to adapt to a wide range of design applications, whether residential or commercial.</p>","15.5"" H","{'Notes': '3-legged base', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:40.205943+00:00,2026-06-23 18:14:57.428150+00:00
4380,3721STM,Side Table,24-side-table-timber-homecrest,Timber,"24"" Side Table — Homecrest Timber collection.","24"" Side Table — Homecrest Timber collection.

<p>Cast from beautiful reclaimed wood tables, our popular Timber collection is on trend and timeless. Using the same technology we use in all Natural Series tops, we are able to achieve a look that is marvelously realistic while retaining the outstanding outdoor performance characteristics you expect from Homecrest. Timber is available in a variety of authentic colors to coordinate with unique color themes.</p>","24"" W x 24"" D x 15.5"" H","{'Notes': '4-legged base', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:45.605938+00:00,2026-06-23 18:14:57.428150+00:00
4261,C2424SWZNU,Square Top Only,24-square-top-only-integrity-homecrest,Integrity,"24"" Square Top Only — Homecrest Integrity collection.","24"" Square Top Only — Homecrest Integrity collection.

<p>Integrity table tops achieve a commercial trifecta, uniting extreme durability, excellent utility, and pleasing aesthetics in a single unit. These tables are impervious to chemical and thermal effects; meet rigorous standards for UV resistance, impact testing, and hygiene; and are a breeze to maintain in any outdoor application. Available in multiple sizes and finish options, Integrity tops can be paired with a variety of Homecrest bases to meet the height, functional, and aesthetic requirements of your project.</p>",,"{'Weight': '0 lbs', 'Material': 'Composite Melamine | Aluminum'}",,,,52,True,True,2026-06-01 06:37:23.004347+00:00,2026-06-23 18:14:57.428150+00:00
4240,C2424SCT,Table Top Only,24-table-top-only-concrete-homecrest,Concrete,"24"" Table Top Only — Homecrest Concrete collection.","24"" Table Top Only — Homecrest Concrete collection.

<p>Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest’s Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.</p>",,"{'Weight': '0 lbs', 'Material': 'Natural Series'}",,,,52,True,True,2026-06-01 06:37:19.144369+00:00,2026-06-23 18:14:57.428150+00:00
4318,C2424SSH,Table Top Only,24-table-top-only-shadow-rock-homecrest,Shadow Rock,"24"" Table Top Only — Homecrest Shadow Rock collection.","24"" Table Top Only — Homecrest Shadow Rock collection.

<p>Homecrest’s elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.</p>",,"{'Weight': '0 lbs', 'Material': 'Natural Series'}",,,,52,True,True,2026-06-01 06:37:32.655469+00:00,2026-06-23 18:14:57.428150+00:00
4346,C2424SSL,Table Top Only,24-table-top-only-slate-homecrest,Slate,"24"" Table Top Only — Homecrest Slate collection.","24"" Table Top Only — Homecrest Slate collection.

<p>A welcome addition to any outdoor space, Homecrest’s Slate tops feature a rustic elegance that could only be inspired by nature. Cast from the pattern and subtle texture of natural slate and produced using industry-leading technology, Homecrest Slate tops are as beautifully authentic in appearance as they are tough and durable. These smooth-surface tops are a favorite in outdoor spaces across the country and mix seamlessly with pieces from our seating collections.</p>",,"{'Weight': '34 lbs', 'Material': 'Natural Series'}",,,,52,True,True,2026-06-01 06:37:38.293481+00:00,2026-06-23 18:14:57.428150+00:00
