id,name,sku,collection,short_description,description,dimensions,specs,materials
3323,Cabo Square Coffee Table,NC270CT-SQ,Cabo,"Square coffee table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean","Square coffee table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean

<p>Square coffee table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>Tempered Glass</li>
</ul>",,,"['Aluminum', 'Wicker']"
3324,Cabo Square End Table,NC270ET-SQ,Cabo,"Square end table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean","Square end table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean

<p>Square end table within the incredibly modern Cabo Wicker Collection and tempered glass. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>Tempered Glass</li>
</ul>",,,"['Aluminum', 'Wicker']"
3353,Cabo Square Ottoman,NC270O-SQ,Cabo,"Outdoor square ottoman with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Outdoor square ottoman with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Outdoor square ottoman with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  <li>Seat Size: 25” x 25”, Deck Ht: 13”</li>
</ul>",,,"['Aluminum', 'Wicker']"
3230,Cabo Swivel Glider,NC270SG,Cabo,"Outdoor swivel glider with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Outdoor swivel glider with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.

<p>Outdoor swivel glider with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.</p>

<ul>
  <li>Flat woven design – Wicker/Rattan</li>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Cushion SKU: CUSH270/271</li>
  <li>Seat Size: 25” x 25”, Deck Ht: 13”</li>
</ul>",,,"['Aluminum', 'Wicker']"
3364,Capri Chaise Lounge,NC6100SACL-A,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Tables feature sturdy tempered glass. Available in multiple finishes and fabrics!","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Tables feature sturdy tempered glass. Available in multiple finishes and fabrics!

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Tables feature sturdy tempered glass. Available in multiple finishes and fabrics!</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Textilene Sling Seating</li>
  <li>Your Choice of Fabrics and Finish Combinations</li>
  <li>Transitional Style</li>
  <li>Quick Drying</li>
  <li>Seat: 40” x 19”, Deck Ht: 13.5”</li>
  <li>Stackable</li>
</ul>",,,['Aluminum']
3212,Capri Lounge Chair,NC6100C,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Available in multiple finishes and fabrics!","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Available in multiple finishes and fabrics!

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Available in multiple finishes and fabrics!</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Textilene Sling Seating</li>
  <li>Your Choice of Fabrics and Finish Combinations</li>
  <li>Transitional Style</li>
  <li>Quick Drying</li>
  <li>Stackable</li>
  <li>Seat: 19” x 19”, Deck ht: 17”</li>
</ul>",,,['Aluminum']
3282,Capri Oval Dining Table,NC6100DT-72,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Transitional Style</li>
  <li>UV-resistant powder coated finish</li>
  <li>True White Color</li>
  <li>With Umbrella Hole</li>
</ul>","72""",,['Aluminum']
3281,Capri Round Dining Table,NC6100DT-48,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Transitional Style</li>
  <li>UV-resistant powder coated finish</li>
  <li>True White Color</li>
  <li>With Umbrella Hole</li>
</ul>","48""",,['Aluminum']
3280,Capri Round Dining Table,NC6100DT-30,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean. Tables feature sturdy tempered glass.</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Transitional Style</li>
  <li>UV-resistant powder coated finish</li>
  <li>True White Color</li>
</ul>","30""",,['Aluminum']
3313,Capri Side Table,NC6100ET-SQ,Capri,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to","Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to

<p>Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and is easy to clean.</p>

<ul>
  <li>Heavy Gauge Tubular Aluminum Frame</li>
  <li>Transitional Style</li>
  <li>UV-resistant powder coated finish</li>
  <li>True White Color</li>
  <li>Tempered Glass included</li>
</ul>",,,['Aluminum']
5291,Chalfonte Counter Height Stool,NC2685BS-CH,Chalfonte,,,"24"" x 23.5"" x 43.5""",,['Aluminum']
3271,Chalfonte Dining Chair,NC2685DC,Chalfonte,Features:,"Features:

<p>Features:</p>

<ul>
  <li>High-Density Polyethylene (HDPE) all-weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance.</li>
  <li>Wicker design gives it a more tactile, luxurious look and texture.</li>
  <li>Stackable Dining Chair</li>
  <li>Optional: Dining Chair cushion – choose from listed fabrics</li>
</ul>",,,"['Aluminum', 'Wicker']"
5292,Chalfonte Dining Loveseat Bench,NC2685DLS,Chalfonte,,,"63"" x 14"" x 17""",,['Aluminum']
5289,"Chalfonte Rectangle Counter Height Table 72""",NC2685CH72-REC-DRB,Chalfonte,,,"72"" x 33"" x 38""",,['Aluminum']
5285,"Chalfonte Rectangle Dining Table 72""",NC2685DT72-REC-DRB-DH,Chalfonte,,,"72"" x 41"" x 29""",,['Aluminum']
5286,"Chalfonte Rectangle Dining Table 83""",NC2685DT83-REC-DRB-DH,Chalfonte,,,"83"" x 41"" x 29""",,['Aluminum']
5293,Chalfonte Single Adjustable Chaise Lounge,NC2685SACL,Chalfonte,,,"78.5"" x 29.75"" x 15""",,['Aluminum']
5287,"Chalfonte Square Counter Height Table 33""",NC2685CH33-SQ-DRB,Chalfonte,,,"33"" x 33"" x 38""",,['Aluminum']
5288,"Chalfonte Square Counter Height Table 41""",NC2685CH41-SQ-DRB,Chalfonte,,,"41"" x 41"" x 38""",,['Aluminum']
5283,"Chalfonte Square Dining Table 33""",NC2685DT33-SQ-DRB-DH,Chalfonte,,,"33"" x 33"" x 29""",,['Aluminum']
5284,"Chalfonte Square Dining Table 41""",NC2685DT41-SQ-DRB-DH,Chalfonte,,,"41"" x 41"" x 29""",,['Aluminum']
5290,Chalfonte Swivel Rocker Dining Chair,NC2685SWDC,Chalfonte,,,"23.5"" x 24"" x 36""",,['Aluminum']
5529,Chesapeake Bay Lounge Chair,NC6701C,Chesapeake Bay 6701,,,"28"" x 31"" x 27"" H",,['Aluminum']
5528,Chesapeake Bay Loveseat,NC6701-LS,Chesapeake Bay 6701,,,"53"" x 31"" x 27"" H",,['Aluminum']
5531,Chesapeake Bay Ottoman,NC6701O-REC,Chesapeake Bay 6701,,,"28"" x 20"" x 15"" H",,['Aluminum']
5533,Chesapeake Bay Round Slat Coffee Table,NC6701RCT,Chesapeake Bay 6701,,,"36"" x 36"" x 18"" H",,['Aluminum']
5532,Chesapeake Bay Round Slat End Table,NC6701-RET,Chesapeake Bay 6701,,,"19"" x 19"" x 22"" H",,['Aluminum']
5527,Chesapeake Bay Sofa,NC674013S,Chesapeake Bay 6701,,,"78"" x 31"" x 27"" H",,['Aluminum']
5530,Chesapeake Bay Swivel Rocker,NC6701SR,Chesapeake Bay 6701,,,"28"" x 31"" x 27"" H",,['Aluminum']
3231,Edgewater 3 Seater Sofa,NC65183S,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Plush cushions with 2 small back buttons that can be unzipped in Sunbrella® fabric.</li>
  <li>CUSH6510-3S: 6 pc. cushion, 4.5</li>
  <li>Seat Size: 66” x 23”, Deck ht: 12.5”</li>
</ul>",,,"['Aluminum', 'Wicker']"
3232,Edgewater Lounge Chair,NC6518C,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Plush cushions with 2 small back buttons that can be unzipped in Sunbrella® fabric.</li>
  <li>CUSH6510C: 2 pc. cushion, 4.5”</li>
  <li>Seat Size: 22” x 23”, Deck ht: 12.5”</li>
</ul>",,,"['Aluminum', 'Wicker']"
3233,Edgewater Loveseat,NC6518LS,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Plush cushions with 2 small back buttons that can be unzipped in Sunbrella® fabric.</li>
  <li>CUSH6510LS: 4 pc. cushion, 4.5”</li>
  <li>Seat Size: 44” x 23” , Deck ht: 12.5”</li>
</ul>",,,"['Aluminum', 'Wicker']"
3325,Edgewater Rectangular Coffee Table,NC6518CT-REC,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Glass Top</li>
</ul>",,,"['Aluminum', 'Wicker']"
3354,Edgewater Rectangular Ottoman,NC6518O-REC,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Plush cushions with 2 small back buttons that can be unzipped in Sunbrella® fabric.</li>
  <li>CUSH600O-REC: 1 pc. cushion</li>
  <li>Seat Size: 22” x 20”, Deck ht: 12.5”</li>
</ul>",,,"['Aluminum', 'Wicker']"
3326,Edgewater Rotating Chat Table,NC6518R-CHT,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Rotating Chat Table with an inset glass top rotates 360 degrees.</li>
  <li>Glass Top</li>
</ul>",,,"['Aluminum', 'Wicker']"
3327,Edgewater Square End Table,NC6518ET-SQ,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Glass Top</li>
</ul>",,,"['Aluminum', 'Wicker']"
3234,Edgewater Swivel Rocker,NC6518SR,Edgewater,"The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..","The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..

<p>The pieces in the Edgewater Collection are specially-sized to fit well in smaller spaces, allowing more seating room for your guests. This set features a 14mm resin finish with a half round design that combines with a rich, multi-toned finish on the frame and legs. The rich brown wicker is made from High-Density Polyethylene..</p>

<ul>
  <li>HDPE All Weather Resin Wicker</li>
  <li>UV inhibitors that prevent fading and cracking ordinarily caused by sunlight.</li>
  <li>Thick-gauged, powder-coated aluminum frame in a dark, multi-tonal finish offers long lasting durability and rust resistance.</li>
  <li>Rustic Finish – Husk</li>
  <li>Plush cushions with 2 small back buttons that can be unzipped in Sunbrella® fabric.</li>
  <li>CUSH6510C: 2 pc. cushion, 4.5”</li>
  <li>Seat Size: 22” x 23”, Deck ht: 12.5”</li>
</ul>",,,"['Aluminum', 'Wicker']"
3371,"Cal Sil Fire Table Rectangle 48"" x 32""",NC5319RCT-48-CAL,Fire Tables,,"<ul>
  <li>48″ Rectangle Fire Table includes burner, windscreen (36″ x 12″ x 8″H) , fire glass and lid.</li>
  <li>Adjustable Flame Height.</li>
  <li>Match light igniter for added safety.</li>
  <li>Easy-access on/off valve.</li>
  <li>25,000 BTU</li>
  <li>Propane Tank or Natural Gas line</li>
  <li>Material is a 5 layer composite system comprising high-performance bonding agents, natural mineral granules, and a hard wearing topcoat with UV inhibitors.</li>
  <li>High tensile strength.</li>
  <li>Safe to use on a deck/patio.</li>
  <li>Do not use fire tables to cook any food items.</li>
  <li>Stone-effect finish.</li>
  <li>Weighs up to 80% less than traditional stone.</li>
  <li>Easy to handle; less risk of injury when lifting.</li>
  <li>Burner made in the USA</li>
  <li>Clean regularly with a soft brush and warm water.</li>
  <li>If heavily soiled, add a little mild dishwashing soap to warm water, clean, and rinse thoroughly.</li>
  <li>Do not cover with unvented plastic or canvas covers.</li>
  <li>Do not use strong chemical cleaning agents, abrasives or solvents.</li>
  <li>Quickly clean up spills with a damp sponge or cloth.</li>
</ul>",,,['Aluminum']
5537,"Cal Sil Fire Table Rectangle 48"" x 32"" Tangent Top",NC5319RCT-48-TAN,Fire Tables,,,"48"" x 32"" x 25"" H; 25,000 BTU",,['Aluminum']
3370,"Cal Sil Fire Table Round 42""",NC5319R-42-CAL,Fire Tables,,"<ul>
  <li>42″ Round Fire Table includes burner, windscreen, fire glass and 16″ lid.</li>
  <li>Natural Gas or Propane</li>
  <li>45,000 BTU</li>
  <li>Adjustable Flame Height.</li>
  <li>Match light igniter for added safety.</li>
  <li>Easy-access on/off valve.</li>
  <li>Diameter of the bowl 19.5″ inside the bowl where the fire glass is 16″</li>
  <li>Height of the glass is 8.25″</li>
  <li>Material is a 5 layer composite system comprising high- performance bonding agents, natural mineral granules, and a hard wearing topcoat with UV inhibitors.</li>
  <li>Stone-effect finish.</li>
  <li>Weighs up to 80% less than traditional stone.</li>
  <li>Easy to handle; less risk of injury when lifting.</li>
  <li>High tensile strength.</li>
  <li>Safe to use on a deck/patio.</li>
  <li>Do not use fire tables to cook any food items.</li>
  <li>Burner made in the USA</li>
  <li>Clean regularly with a soft brush and warm water. If heavily soiled, add a little mild dishwashing soap to warm water, clean, and rinse thoroughly.</li>
  <li>Do not cover with unvented plastic or canvas covers.</li>
  <li>Do not use strong chemical cleaning agents, abrasives or solvents.</li>
  <li>Quickly clean up spills with a damp sponge or cloth.</li>
</ul>","42""",,['Aluminum']
5536,"Cal Sil Fire Table Round 42"" Tangent Top",NC5319R-42-TAN,Fire Tables,,,"42"" Dia. x 25"" H; 45,000 BTU",,['Aluminum']
3372,"Woven Fire Table Rectangle 48""",NC5314RCT,Fire Tables,,"<ul>
  <li>48″ x 36″ Woven Rectangle Fire Table with Glass Top, Burner & Fire Glass (instead of stones).</li>
  <li>25,000 BTU</li>
  <li>Natural Gas or Propane</li>
  <li>Lid and windscreen included.</li>
  <li>Adjustable Flame Height</li>
  <li>Match light igniter for added safety</li>
  <li>Easy-access on/off valve</li>
  <li>Safe to use on a deck/patio</li>
  <li>Do not use fire tables to cook any food items</li>
  <li>Stone-effect finish.</li>
  <li>Weighs up to 80% less than traditional stone.</li>
  <li>Easy to handle; less risk of injury when lifting.</li>
  <li>High tensile strength.</li>
  <li>Safe to use on a deck/patio.</li>
  <li>Do not use fire tables to cook any food items.</li>
  <li>Burner made in the USA</li>
  <li>Clean regularly with a soft brush and warm water. If heavily soiled, add a little mild dishwashing soap to warm water, clean, and rinse thoroughly.</li>
  <li>Do not cover with unvented plastic or canvas covers.</li>
  <li>Do not use strong chemical cleaning agents, abrasives or solvents.</li>
  <li>Quickly clean up spills with a damp sponge or cloth.</li>
</ul>","48""",,['Aluminum']
3369,"Woven Fire Table Round 42""",NC5314R-42,Fire Tables,,"<ul>
  <li>42″ Woven Round Fire Table with Glass Top, Burner & Fire Glass</li>
  <li>Adjustable Flame Height</li>
  <li>Match light igniter for added safety</li>
  <li>Easy-access on/off valve</li>
  <li>Safe to use on a deck/patio</li>
  <li>Do not use fire tables to cook any food items</li>
  <li>Propane container or Natural Gas line.</li>
  <li>45,000 BTU</li>
  <li>Safe to use on a deck/patio.</li>
  <li>Do not use fire tables to cook any food items.</li>
  <li>Stone-effect finish.</li>
  <li>Weighs up to 80% less than traditional stone.</li>
  <li>Easy to handle; less risk of injury when lifting.</li>
  <li>Burner made in the USA</li>
  <li>Clean regularly with a soft brush and warm water.</li>
  <li>If heavily soiled, add a little mild dishwashing soap to warm water, clean, and rinse thoroughly.</li>
  <li>Do not cover with unvented plastic or canvas covers.</li>
  <li>Do not use strong chemical cleaning agents, abrasives or solvents.</li>
  <li>Quickly clean up spills with a damp sponge or cloth.</li>
</ul>",,,['Aluminum']
5547,Grand Stafford Coffee Table Glass Top,NC4331CT-REC-GL,Grand Stafford,,,"44"" x 28""",,['Wicker']
5548,Grand Stafford End Table Glass Top,NC4331ET-SQ-GL,Grand Stafford,,,"22"" x 22""",,['Wicker']
